n	A
1	4
2	16.500233303188296
3	44.997789219543876
4	95.9973865272482
5	175.4992428114784
6	288.7562553433604
7	429.0099921788823
8	630.0105048308058
9	883.5370132462558
10	1188.0567386514265
11	1554.0579987615092
12	1999.5317037204375
13	2520.08651842889
14	3135.0787776158595
15	3810.1318150438533
16	4614.977654867961
17	5473.962872569623
18	6478.081465669452
19	7598.7238881896765
20	8835.052858159164
21	10149.207482049771
22	11679.260534975196
23	13204.94831845785
24	15006.170674080771
25	16896.4148436397
26	19042.039134940078
27	21232.693314834298
28	23600.112862809787
29	26244.120622242317
30	28980.37221605525
31	32032.083242426113
32	35062.71240738222
33	38310.84815502642
34	42021.39617435383
35	45627.762480828846
36	49616.56368492134
37	53753.09391038223
38	58288.05990392706
39	62678.85591726608
40	67693.07128569498
41	73017.72465456686
42	78343.64366891867
43	83739.55867381656
44	89845.3879742535
45	100417.13681073082
46	102599.37537516198
47	109226.72670518786
48	116160.67611372515
49	123282.65943406764
50	131120.8558630811
51	139391.49909592074
52	146731.02245587474
53	155767.26166944674
54	165445.1114900085
55	174675.1876414834
56	183969.4984473865
57	193969.37383205045
58	204072.81933695302
59	214485.06494187703
60	226796.96419665552
61	237262.66434323875
62	248954.5991752631
63	260037.45185402827
64	274365.65779208235
65	286367.38549885945
66	300853.72678290104
67	313374.4007651326
68	328511.39012327173
69	343758.271119586
70	357892.684436632
71	371471.4960197559
72	389063.6219121759
73	405324.7474165477
74	423144.32558782457
75	438221.61788096116
76	457711.2959392268
77	475241.51296255295
78	495016.1007724766
79	514077.28336258035
80	534206.028154679
81	554421.868708287
82	573181.8434657628
83	596107.0575882068
84	615311.7817750993
85	641278.8418101157
86	662976.6477062841
87	687086.4275931765
88	711005.064268111
89	729594.9011424716
90	761566.782248387
91	786547.0602077027
92	809533.3429567454
93	836663.1455975379
94	864425.7616593873
95	889251.4168187345
96	921472.3318287991
97	951811.4958085084
98	1.0007608958624989e6
99	1.0108344870043794e6
100	1.0439568580548095e6
