n	Hx	Hy
1	1	1
2	1.0000831376	2.5002093505
3	2.5000223952	3.0000170569
4	4.0000073032	4.0000287446
5	6.500192633	4.500042939
6	6.0001066785	8.000046227
7	9.0001781024	8.0003187969
8	8.0005010022	13.00004937
9	11.000157199	13.500302004
10	12.500056342	16.000307019
11	16.000548678	16.000832817
12	20.000088989	17.000092244
13	19.001274368	22.000989876
14	21.500700357	24.000913803
15	26.500272078	24.000435166
16	26.000580362	29.501120282
17	32.001174696	28.50039656
18	31.499867398	34.500104701
19	37.001421257	34.500210046
20	36.000765603	41.000418386
21	40.500624552	42.000890582
22	45.501333487	43.001287694
23	45.501474274	48.500129463
24	53.0001657	47.500236918
25	57.000578341	49.500618938
26	54.499959924	58.000872865
27	60.500200676	58.500623447
28	65.000068331	61.000867708
29	64.000580475	69.000661195
30	70.50084784	69.000736638
31	70.500464801	75.500863365
32	78.500874553	75.000256499
33	77.501003992	82.500764729
34	86.001005868	81.501367387
35	86.999989426	88.000891175
36	84.499996246	98.501662477
37	93.500197525	97.00027354
38	93.502099215	104.00015066
39	103.00201959	102.000467
40	109.50019375	104.00084621
41	112.49996043	109.00123155
42	113.50148853	115.50069988
43	115.00127355	122.99997445
44	115.00190759	131.00017324
45	131.50028926	122.5021129
46	129.00101017	133.50020166
47	131.99977165	138.50131325
48	134.99998662	144.50181321
49	150.50066514	138.50165776
50	151.00084838	146.00165388
51	153.0008756	152.50053868
52	162.00119982	154.50094069
53	156.00105154	169.00047042
54	168.50014648	165.99975987
55	173.4999938	170.00033825
56	179.00041035	173.50001338
57	185.00097884	177.00034033
58	193.50093151	178.50000022
59	187.0026404	193.49978926
60	203.50128014	186.50165332
61	213.50117179	187.00293706
62	206.00052031	204.00191723
63	210.5009449	209.00274388
64	218.50077755	211.50163827
65	226.00141396	213.99987173
66	242.00103622	208.0015159
67	241.50008142	220.49911243
68	231.00085226	241.00252421
69	241.00240828	241.50070747
70	249.49931602	242.50088346
71	254.99983431	248.50143211
72	253.49996197	261.5002619
73	257.49948373	265.50017021
74	263.00001226	271.00119545
75	273.99982468	273.50216847
76	273.50122744	281.50041308
77	280.99999977	289.50046846
78	299.50002742	282.00035903
79	295.50109842	293.500606
80	287.50142178	314.00010065
81	305.00131543	306.0010441
82	302.50094282	323.50123655
83	326.99995053	309.99963051
84	322.00171405	326.00004653
85	334.50024758	328.49937233
86	340.00038115	333.50103019
87	339.50025777	345.00106529
88	353.49975196	339.00196171
89	363.00191669	343.50031332
90	350.0026379	370.00160657
91	360.99992931	372.49986276
92	373.00005584	367.50096877
93	381.49980595	372.00007805
94	366.5009463	401.49951848
95	395.50185604	383.5006477
96	401.50004527	391.50057173
97	388.50150339	414.50000702
98	411.99993433	407.00033193
99	415.00280736	410.49980563
100	409.5006315	430.5005874
