n	Lx	Ly
1	2	2
2	5.5000180654	3.0000325648
3	7.4995828298	6.0000389676
4	11.9994847998	8.0001256828
5	12.9996945108	13.5002589996
6	17.4998233886	16.5005239728
7	22.00002277	19.500434007
8	27.99961637	22.500683456
9	28.500925508	31.000292008
10	36.000018878	33.001558768
11	42.001266914	37.000264824
12	43.000150424	46.500574626
13	52.500873554	48.000849278
14	57.000877196	55.000535638
15	60.00078774	63.501363208
16	64.99997483	70.999683722
17	75.50106634	72.50179551
18	82.000264658	79.000738506
19	91.002157666	83.500480462
20	95.000087436	93.000470806
21	102.000908146	99.50114824
22	114.502079696	102.000422752
23	110.500694586	119.501043572
24	122.000999994	123.000390774
25	132.000832124	128.002335832
26	139.50001657	136.502056438
27	149.00082188	142.500511386
28	160.00065843	147.500098402
29	161.99966216	162.001082424
30	168.001880576	172.50028462
31	182.0009641	175.999525062
32	186.500459096	188.003357082
33	193.00061319	198.501173244
34	203.0011994	207.00072856
35	227.00214958	201.00145556
36	221.502301	224.00021788
37	223.50370232	240.50202906
38	235.50313742	247.50438802
39	242.001881	259.0015237
40	243.49938904	278.00099028
41	266.00217874	274.5004759
42	272.50006784	287.49953822
43	281.00102062	298.0044645
44	302.00084146	297.50045576
45	325.50047566	308.50073754
46	309.50037322	331.50000534
47	332.49938624	328.50204008
48	352.00127464	330.0007258
49	361.00248622	341.5008598
50	352.00197682	372.50033948
51	390.99932874	356.50060972
52	371.00007112	395.50133242
53	402.4992424	387.0001363
54	405.50106588	408.00166858
55	410.9999662	425.0004915
56	420.5014054	437.50031768
57	448.99933746	432.00369722
58	449.49921494	454.000391
59	452.500628	473.99948568
60	472.00063346	480.50139792
61	475.00056624	499.49975054
62	506.0030484	492.00217264
63	502.0018397	518.0009938
64	538.49960914	509.50019858
65	546.5007039	524.0018603
66	548.00176414	549.0013837
67	574.99921202	544.99970472
68	583.5003117	563.00122474
69	571.50145152	601.50025902
70	601.49947174	595.00082918
71	605.00043012	614.00203624
72	624.00003736	623.49935676
73	647.99928338	625.50184516
74	653.00038618	648.00011538
75	657.00451768	666.99939816
76	693.49943038	660.0024108
77	676.50036662	702.500008
78	679.4998852	728.5006393
79	720.4996863	713.50105092
80	718.50187906	743.49983448
81	760.00242088	729.5001351
82	773.00071832	741.5023426
83	755.99948656	788.50193444
84	796.00102134	773.00375914
85	819.00177834	783.00054868
86	809.0000318	819.50138646
87	841.49963998	816.5023429
88	851.50114312	835.0018905
89	886.5037391	823.00262138
90	884.0006107	861.50028974
91	902.00194206	872.00151522
92	895.50063548	904.00085816
93	904.5009796	924.99971196
94	933.5040399	926.00109342
95	943.50221204	942.50061682
96	993.50083354	927.50031074
97	992.50163364	959.0024475
98	973.50300932	1027.9997969
99	991.50060398	1019.499618
100	1026.00082698	1017.50099084
