n	Lx	Ly
1	2	2
2	4.0000228032	0.74971116648
3	1.24969594828	6.0001432232
4	2.2488837174	8.0001129804
5	2.9994080094	10.0012286832
6	4.498979723	12.0000350458
7	5.499189364	14.0008441052
8	16.000154244	7.498818122
9	8.749068933	18.0004589084
10	21.251188254	10.0009317356
11	22.000327652	12.7489575482
12	24.000060422	15.4992628162
13	17.250306763	26.000003294
14	28.000442832	19.500141309
15	30.001434958	22.500139156
16	35.749966878	30.000045694
17	26.000142384	39.50058318
18	31.25089561	36.000386146
19	33.251519764	38.750282644
20	40.000797832	37.500163702
21	42.249427142	40.750319216
22	44.500375496	44.7505374
23	51.499168232	43.751904954
24	53.501059934	48.00247827
25	57.001456574	50.002183594
26	56.000651774	57.000284544
27	63.00020609	57.000236398
28	63.751082368	62.499823254
29	71.501517284	61.253922364
30	75.001496916	65.752194788
31	81.501235894	66.500077366
32	82.000047536	72.501026544
33	77.75223003	83.999179464
34	94.000940318	75.250683824
35	78.500008296	97.500826352
36	78.501650252	106.999907264
37	98.25056634	101.99981758
38	90.00066182	111.500517696
39	94.251270966	114.500751054
40	96.251031304	120.001189508
41	117.000469288	106.749948344
42	131.500719958	102.001109078
43	113.751716154	126.001064144
44	128.000319496	120.250707674
45	142.00277308	114.751926328
46	144.500076888	120.500026968
47	142.001904044	130.253924368
48	123.000637282	159.49984533
49	138.001019986	152.501200576
50	172.000307164	131.750642096
51	142.50568381	164.50028865
52	146.501006608	170.001899282
53	168.00074324	159.00023037
54	174.000972964	160.001289504
55	188.749770082	156.255548766
56	169.499663758	187.001616726
57	174.2516451	193.251406634
58	198.250614792	177.25457792
59	220.00016404	166.252659742
60	210.00017902	182.500103354
61	195.501000338	207.99974686
62	197.251388296	214.0017602
63	215.5002642	207.50120358
64	236.75200786	197.504292786
65	217.25200578	224.49996434
66	213.00649506	238.00182538
67	257.00118292	210.50065814
68	231.4997845	243.25097538
69	236.74964114	244.00030634
70	248.50074494	243.50482324
71	241.75078166	262.00402336
72	269.99993804	243.25089116
73	271.50050474	258.0012417
74	286.75017226	250.50202272
75	263.50100164	284.75187242
76	284.00026626	269.50626908
77	294.00146022	274.25649802
78	309.99968188	272.7517137
79	305.99966578	287.7499063
80	309.24999216	327.25028688
81	306.99935014	325.7496879
82	311.25082212	321.50081234
83	318.25071312	319.75174644
84	327.75033912	318.00064412
85	324.99935346	342.00017554
86	340.50017104	331.00389656
87	359.0003987	330.49935482
88	337.75057072	364.50084036
89	343.25055418	363.2560256
90	350.00052654	366.75387214
91	364.00468878	372.00040742
92	354.75266306	386.50024844
93	359.50304428	402.74856202
94	378.00031022	394.49818862
95	387.74918184	398.49980276
96	402.00171064	393.75017686
97	409.75131324	399.75044534
98	401.75108216	423.99992122
99	419.5058465	407.50299812
100	433.25061276	417.00024622
