n	Lx	Ly
1	2	2
2	1.49985037388	4.0000314898
3	2.4993213234	6.0003681524
4	4.4992116724	8.0002125796
5	5.999517701	10.0000605032
6	13.5001437682	7.4996460108
7	10.998652471	14.0001625578
8	16.0003065386	13.4999131238
9	21.500609982	14.000764386
10	19.999002574	20.000414564
11	23.501369654	22.000386944
12	28.000400464	24.00000541
13	26.500836224	32.000096734
14	34.500103814	30.501236816
15	34.001360558	37.500753906
16	38.999790072	39.500924764
17	45.50112521	40.50111156
18	48.50042948	45.00152384
19	52.501208926	48.500798772
20	50.500927256	59.000427258
21	61.001105572	55.50095203
22	67.002216138	58.49982412
23	64.003767382	69.999966606
24	69.999552274	72.50051784
25	76.002341278	75.000000564
26	77.001728728	83.000549886
27	83.000982682	86.002650232
28	87.001242352	92.001831768
29	101.999825888	86.001667788
30	101.499765728	99.000226186
31	100.999805242	106.001606662
32	114.000104274	103.500090652
33	111.500824372	115.500895752
34	122.501580404	115.501560754
35	126.500512558	121.500554196
36	133.501167162	126.00267543
37	133.002740458	136.002340552
38	137.500345542	143.500872626
39	137.502766196	153.002413136
40	161.000341614	142.500401618
41	158.499428976	155.502636162
42	160.500658878	164.000430622
43	174.501173224	163.002165558
44	170.000954808	179.004614936
45	181.502834218	179.000521812
46	190.002866954	184.003296916
47	182.500677902	202.00323276
48	192.999262606	206.50319542
49	201.50045954	208.50149222
50	220.0010455	204.5004955
51	218.99985264	213.4996226
52	216.49989746	228.9995429
53	221.50025984	237.5004908
54	245.0006298	231.00186878
55	252.00166806	236.00199924
56	253.50189302	245.001742
57	250.00219268	262.50102846
58	271.50048754	254.00271126
59	278.49962592	263.50076744
60	272.50037482	281.5035336
61	264.5000323	304.50145978
62	295.99987042	289.50018484
63	296.5020076	300.99970648
64	319.99929602	312.50082228
65	313.50086082	319.5008015
66	318.99970332	320.00101532
67	337.5005887	318.49765298
68	321.9999027	349.50165142
69	340.50232554	341.5006101
70	332.50216622	368.49952604
71	358.49975542	357.00202294
72	367.50166314	360.00129518
73	368.99894538	378.00005568
74	393.99967582	360.50007696
75	392.000206	384.5011711
76	393.5028428	400.50277584
77	396.99904702	409.50033436
78	404.00098934	421.00071728
79	442.00083556	397.5024835
80	415.0005638	439.99958462
81	440.0013215	433.99935042
82	440.499998	442.00672416
83	459.99992216	448.50103124
84	460.00050396	459.99897694
85	452.99871396	484.9999574
86	486.00039332	467.00001888
87	474.5001364	494.50017764
88	491.00285124	493.0020364
89	516.00094662	490.00081486
90	530.5004977	489.0012166
91	514.00175184	527.4999355
92	530.50393358	531.50157512
93	553.0042136	521.5003646
94	533.50551264	553.00033942
95	562.00175178	544.00446794
96	560.49864478	568.00162758
97	602.00085018	547.50041494
98	598.99981006	563.99892066
99	587.00268588	588.00206584
100	625.00209382	568.00081096
