n	A
1	4
2	16.001276006239486
3	36.00252325541246
4	64.00120415606399
5	35.99096630919035
6	56.26830732134883
7	120.99277912693256
8	182.24849314391474
9	272.2733775236229
10	400.04467924757733
11	552.3080061971066
12	784.159447050115
13	812.3451794501184
14	1190.3891529168773
15	1369.1833399539273
16	1640.5245805923512
17	1892.4354962017994
18	1892.3463109214665
19	2304.410932881482
20	2704.505305940867
21	3136.340720870178
22	4160.701996800306
23	4160.793450370472
24	5256.8116379921585
25	5776.532766204745
26	6724.66876533193
27	7396.4706242544835
28	8010.981150417516
29	8557.524628646974
30	10404.509778580423
31	11557.16035415779
32	10816.457711754261
33	13340.62053627495
34	13225.895548220295
35	14885.312420017899
36	15877.956497554105
37	18496.59295169619
38	19881.930885000416
39	20738.74895375657
40	22053.183342473523
41	23410.198515748285
42	26735.412858476822
43	26735.566722607684
44	29860.105080626712
45	30102.345522929776
46	32581.675226980344
47	34970.50911974552
48	38612.39281161605
49	41209.86134974093
50	42804.88307660089
51	48182.429132839316
52	48410.635912246915
53	53130.2347224611
54	57362.344705283474
55	58497.15748450948
56	61262.57597621357
57	62004.220528140024
58	69696.47486288885
59	67906.1417259958
60	74803.37927482207
61	79817.66725031476
62	82345.86750719923
63	85290.46481022252
64	90904.38626065073
65	90013.16140913896
66	100180.32229255809
67	103701.42696004896
68	105311.85085701702
69	110904.33184992039
70	116627.93667268095
71	124968.16698132083
72	131612.7925364589
73	132496.98878600475
74	138764.78713101006
75	142131.1969081294
76	152548.2540118609
77	161245.89512050292
78	159224.43643071238
79	172120.2155115967
80	172589.66282519593
81	178951.7646382243
82	187063.40450070976
83	198368.55741118197
84	199849.228091004
85	214390.8767710332
86	217629.28200316516
87	223266.980811841
88	228996.50135385254
89	244236.95907824428
90	244026.2033274423
91	261648.3347739096
92	271647.61061192787
93	268857.19974500505
94	282496.26381721755
95	285936.2053046389
96	312418.71910002636
97	312518.5217205845
98	335012.1124406896
99	320988.1004144945
100	333008.3320470698
