n	Hx	Hy
1	1	0.5
2	1.0000899003	2.5002532448
3	3.0000534686	2.5001313448
4	4.0000815429	4.0002539309
5	6.5005337529	4.5001267004
6	8.0001858482	6.0001672419
7	9.0006936032	8.0005986878
8	11.000582219	9.5005281342
9	12.000868326	12.001221098
10	14.000678795	14.001062404
11	16.001325975	16.000961617
12	19.500914372	17.001955382
13	19.501629109	21.500378851
14	21.50205836	24.001188455
15	26.500909618	24.000857781
16	26.002345191	29.500726841
17	29.002268219	31.500595739
18	34.501789239	31.002033869
19	34.002315787	37.002163222
20	39.001132584	37.501317653
21	39.000706688	43.501074686
22	45.502594572	42.502515505
23	45.001639177	49.001730753
24	50.00165252	50.001826753
25	53.502570782	52.501528888
26	58.002579493	54.501240207
27	58.002641738	61.002597757
28	61.502150322	64.000825496
29	64.500973463	67.501467733
30	67.001057695	72.001806883
31	71.50165218	74.002645756
32	75.003180901	77.502333523
33	79.001227247	80.502452979
34	85.502004341	81.502452936
35	84.502967841	89.502631488
36	88.003995901	93.503344674
37	93.001957397	96.000566023
38	101.00087313	96.001876394
39	104.50245719	100.00061811
40	105.00182565	107.00212939
41	112.50247765	107.50022549
42	114.0048443	113.50287475
43	116.50306433	119.50118816
44	120.50221272	123.50242581
45	129.50190891	123.00354212
46	129.50110386	131.50168481
47	132.00320959	137.00279129
48	138.50214019	139.27971973
49	145.50141257	141.00108106
50	148.503348	146.50522832
51	155.50333352	148.50249739
52	159.00038965	154.00160226
53	161.00507843	160.50383762
54	165.00190055	165.53217658
55	167.00207558	173.00293377
56	177.42681681	172.01442592
57	181.48595423	177.00347228
58	182.50605705	185.0011028
59	185.7235391	191.51412189
60	196.00254003	190.50927767
61	199.51269487	196.72846148
62	199.0046452	207.00164975
63	210.00912501	205.50469353
64	212.00595603	213.50622164
65	221.50324987	214.00551878
66	226.001479	219.50426486
67	233.5008311	222.00191523
68	230.50383804	235.00301994
69	243.00213033	233.00274581
70	245.50349816	240.50334011
71	245.50116037	250.83278668
72	256.50660939	250.5113403
73	254.00150534	263.50885725
74	261.00134755	267.00826388
75	272.51274167	266.0013014
76	273.00289347	276.50113887
77	276.50548159	283.50285943
78	284.01268328	286.5092121
79	290.67877612	291.00699041
80	293.98346268	299.00971881
81	301.50332431	302.0117091
82	311.51036322	303.50798141
83	316.95305479	309.50567522
84	322.00144814	315.50567209
85	321.50831373	327.00540131
86	328.50466177	331.50412457
87	329.54609279	342.32859099
88	335.0089411	348.50156466
89	344.50231446	350.50069545
90	355.42741863	351.06883352
91	351.99930165	366.00599049
92	372.00179193	358.0068612
93	375.00259819	366.512678
94	376.5006683	377.39334389
95	390.02027775	376.02735689
96	387.54103996	389.57455916
97	397.50245751	392.50092256
98	395.50225634	406.53395713
99	403.16085428	411.15823064
100	413.28785369	413.46673419
