n	A
1	4
2	16.001150564683616
3	1.5624392084413097
4	64.00161467898418
5	8.99694859988393
6	20.2415157878511
7	30.239147124003733
8	56.23139119231117
9	76.56020018477095
10	126.54612253235442
11	484.01390981993825
12	224.99365599271889
13	297.60406556103896
14	370.59506737272517
15	495.08971612904224
16	588.0694083602892
17	728.9932289557227
18	1296.0034374262793
19	1463.3068418678565
20	1620.1726844774166
21	1849.080137560292
22	1914.4983026285674
23	2116.360094854676
24	2809.2376114446365
25	2626.6605788605775
26	3277.849730458612
27	3393.367341678637
28	4032.631441582447
29	4356.241587373567
30	5112.609853534339
31	5588.693316305136
32	5702.449501766332
33	6604.007277828703
34	6601.726874648193
35	7832.862861744408
36	8602.804736138232
37	8836.765790223479
38	9509.174381690298
39	10456.348636370294
40	10405.710261031518
41	12322.719769243302
42	12997.364853864721
43	13924.709031850021
44	14764.127962263892
45	15944.976818717247
46	16923.093160339926
47	18091.994989126473
48	20028.02038326811
49	21317.56929411398
50	21611.654211774534
51	23335.389424778896
52	24037.25160833638
53	26517.84088182779
54	26735.19555456421
55	28140.856467692345
56	30452.793511366697
57	31258.80613879381
58	33673.920697206995
59	34868.576247051606
60	35667.49854198427
61	39305.72917426128
62	39314.17763989282
63	43602.334066907184
64	45490.28663372664
65	49287.5641678769
66	49387.056348203674
67	51337.94876666363
68	53477.31181737485
69	56885.2526210635
70	58563.970350163756
71	62377.42165081654
72	63338.25761107514
73	66417.40515905325
74	67603.07586618794
75	71112.82416320554
76	74529.74049795933
77	78621.03009418979
78	81797.86856307132
79	85433.36149886598
80	89258.60503682015
81	93233.92725323151
82	93967.21830288047
83	96748.34806338715
84	100356.53708543291
85	106602.61808335775
86	109387.24883334816
87	116132.534554166
88	112559.44262740779
89	124053.68571704482
90	122516.72040651615
91	128781.22467047337
92	128988.89569655411
93	139655.60900444607
94	141753.05370815922
95	144408.16047849003
96	150158.06655899406
97	154276.52337982084
98	158406.49473750245
99	164431.9192044362
100	175567.14316357888
