N	R
5	1.7515596518
6	1.8101249881
7	1.8387602076
8	1.8584438807
9	1.8788876965
10	1.9144267034
11	1.9293286637
12	1.94995336
13	1.9656605176
14	1.9815961923
15	1.9937879356
16	2.0047668123
17	2.0155395878
18	2.0302068106
19	2.0456011938
20	2.0552386698
21	2.0648689365
22	2.0788131588
23	2.0851589691
24	2.0980212442
25	2.1075101608
26	2.1154736154
27	2.123736026
28	2.1280819002
29	2.13758974
30	2.1454841093
31	2.1529013685
32	2.1598145319
33	2.1661549921
34	2.1721650813
35	2.1823833072
36	2.1878677271
37	2.1909957235
38	2.198161693
39	2.2040646568
40	2.2060142983
41	2.211981996
42	2.2186435524
43	2.2243979687
44	2.2306064205
45	2.2330257552
46	2.2398407732
47	2.2440961694
48	2.2510180607
49	2.2516313335
50	2.2534854576
51	2.2617614437
52	2.2667092445
53	2.2690985507
54	2.2733299459
55	2.2781019877
56	2.2813672599
57	2.2864656972
58	2.2867134819
59	2.2933728508
60	2.2951549423
61	2.2991410215
62	2.3016242707
63	2.3043664999
64	2.3097544665
65	2.3118163082
66	2.3130525172
67	2.3182754148
68	2.3224602614
69	2.3270589685
70	2.3270658271
71	2.3296149443
72	2.3339071365
73	2.3382747852
74	2.3397016728
75	2.3443062531
76	2.3469647058
77	2.3472153896
78	2.3503848464
79	2.3539297598
80	2.3564596001
81	2.3577474532
82	2.3610175845
83	2.361440533
84	2.3659372462
85	2.3693945412
86	2.3706050163
87	2.3726551147
88	2.3763940996
89	2.3783024359
90	2.3810325703
91	2.3834587631
92	2.3848829998
93	2.3851868732
94	2.390407321
95	2.3917614427
96	2.3945830114
97	2.3975180263
98	2.3972992668
99	2.4011975221
100	2.4013477665
