n	Lx	Ly
1	2	2
2	4.000143818	4.000143818
3	1.24997568314	1.24997568314
4	8.0001009168	8.0001009168
5	2.9994913902	2.9994913902
6	4.499057211	4.499057211
7	5.4990132864	5.4990132864
8	7.4987593102	7.4987593102
9	8.749868581	8.749868581
10	11.249272089	11.249272089
11	22.00031613	22.00031613
12	14.9997885316	14.9997885316
13	17.2512047568	17.2512047568
14	19.2508458872	19.2508458872
15	22.25061159	22.25061159
16	24.25014244	24.25014244
17	26.99987461	26.99987461
18	36.000047742	36.000047742
19	38.253193878	38.253193878
20	40.251368728	40.251368728
21	43.000931822	43.000931822
22	43.754980318	43.754980318
23	46.003913908	46.003913908
24	53.00224157	53.00224157
25	51.250956858	51.250956858
26	57.252508508	57.252508508
27	58.252616608	58.252616608
28	63.503003406	63.503003406
29	66.001830182	66.001830182
30	71.502516414	71.502516414
31	74.757563606	74.757563606
32	75.514564832	75.514564832
33	81.265043394	81.265043394
34	81.25101153	81.25101153
35	88.503462428	88.503462428
36	92.751305846	92.751305846
37	94.004073264	94.004073264
38	97.514995676	97.514995676
39	102.256288982	102.256288982
40	102.008383288	102.008383288
41	111.007746438	111.007746438
42	114.005986044	114.005986044
43	118.003004334	118.003004334
44	121.507727994	121.507727994
45	126.273420872	126.273420872
46	130.088789526	130.088789526
47	134.506486792	134.506486792
48	141.520388578	141.520388578
49	146.005374196	146.005374196
50	147.009027654	147.009027654
51	152.759253156	152.759253156
52	155.03951628	155.03951628
53	162.842994574	162.842994574
54	163.509007564	163.509007564
55	167.752366504	167.752366504
56	174.507287846	174.507287846
57	176.801601064	176.801601064
58	183.504552252	183.504552252
59	186.731294236	186.731294236
60	188.858408714	188.858408714
61	198.25672542	198.25672542
62	198.278031158	198.278031158
63	208.81171918	208.81171918
64	213.28452038	213.28452038
65	222.00802726	222.00802726
66	222.23198768	222.23198768
67	226.57879152	226.57879152
68	231.25162014	231.25162014
69	238.50629472	238.50629472
70	241.99993874	241.99993874
71	249.75472298	249.75472298
72	251.6709312	251.6709312
73	257.71574488	257.71574488
74	260.00591506	260.00591506
75	266.66987862	266.66987862
76	273.00135622	273.00135622
77	280.3944188	280.3944188
78	286.0032667	286.0032667
79	292.2898587	292.2898587
80	298.76178644	298.76178644
81	305.3423116	305.3423116
82	306.54072862	306.54072862
83	311.04396484	311.04396484
84	316.79099906	316.79099906
85	326.50056368	326.50056368
86	330.73743186	330.73743186
87	340.7822392	340.7822392
88	335.49879676	335.49879676
89	352.21255758	352.21255758
90	350.02388548	350.02388548
91	358.86101024	358.86101024
92	359.15024112	359.15024112
93	373.70524348	373.70524348
94	376.50106734	376.50106734
95	380.01073732	380.01073732
96	387.50234394	387.50234394
97	392.7805028	392.7805028
98	398.00313408	398.00313408
99	405.5020582	405.5020582
100	419.00733068	419.00733068
