n	Lx	Ly
1	2	2
2	2.0001798006	2.0001798006
3	6.0001069372	6.0001069372
4	8.0001630858	8.0001630858
5	13.0010675058	13.0010675058
6	16.0003716964	16.0003716964
7	18.0013872064	18.0013872064
8	22.001164438	22.001164438
9	24.001736652	24.001736652
10	28.00135759	28.00135759
11	32.00265195	32.00265195
12	39.001828744	39.001828744
13	39.003258218	39.003258218
14	43.00411672	43.00411672
15	53.001819236	53.001819236
16	52.004690382	52.004690382
17	58.004536438	58.004536438
18	69.003578478	69.003578478
19	68.004631574	68.004631574
20	78.002265168	78.002265168
21	78.001413376	78.001413376
22	91.005189144	91.005189144
23	90.003278354	90.003278354
24	100.00330504	100.00330504
25	107.005141564	107.005141564
26	116.005158986	116.005158986
27	116.005283476	116.005283476
28	123.004300644	123.004300644
29	129.001946926	129.001946926
30	134.00211539	134.00211539
31	143.00330436	143.00330436
32	150.006361802	150.006361802
33	158.002454494	158.002454494
34	171.004008682	171.004008682
35	169.005935682	169.005935682
36	176.007991802	176.007991802
37	186.003914794	186.003914794
38	202.00174626	202.00174626
39	209.00491438	209.00491438
40	210.0036513	210.0036513
41	225.0049553	225.0049553
42	228.0096886	228.0096886
43	233.00612866	233.00612866
44	241.00442544	241.00442544
45	259.00381782	259.00381782
46	259.00220772	259.00220772
47	264.00641918	264.00641918
48	277.00428038	277.00428038
49	291.00282514	291.00282514
50	297.006696	297.006696
51	311.00666704	311.00666704
52	318.0007793	318.0007793
53	322.01015686	322.01015686
54	330.0038011	330.0038011
55	334.00415116	334.00415116
56	354.85363362	354.85363362
57	362.97190846	362.97190846
58	365.0121141	365.0121141
59	371.4470782	371.4470782
60	392.00508006	392.00508006
61	399.02538974	399.02538974
62	398.0092904	398.0092904
63	420.01825002	420.01825002
64	424.01191206	424.01191206
65	443.00649974	443.00649974
66	452.002958	452.002958
67	467.0016622	467.0016622
68	461.00767608	461.00767608
69	486.00426066	486.00426066
70	491.00699632	491.00699632
71	491.00232074	491.00232074
72	513.01321878	513.01321878
73	508.00301068	508.00301068
74	522.0026951	522.0026951
75	545.02548334	545.02548334
76	546.00578694	546.00578694
77	553.01096318	553.01096318
78	568.02536656	568.02536656
79	581.35755224	581.35755224
80	587.96692536	587.96692536
81	603.00664862	603.00664862
82	623.02072644	623.02072644
83	633.90610958	633.90610958
84	644.00289628	644.00289628
85	643.01662746	643.01662746
86	657.00932354	657.00932354
87	659.09218558	659.09218558
88	670.0178822	670.0178822
89	689.00462892	689.00462892
90	710.85483726	710.85483726
91	703.9986033	703.9986033
92	744.00358386	744.00358386
93	750.00519638	750.00519638
94	753.0013366	753.0013366
95	780.0405555	780.0405555
96	775.08207992	775.08207992
97	795.00491502	795.00491502
98	791.00451268	791.00451268
99	806.32170856	806.32170856
100	826.57570738	826.57570738
