n	V
2	10.01331755912936
3	45.01061087836716
4	112.0292959273439
5	280.0870442244028
6	510.2298614174787
7	1001.5869409208177
8	1584.3791764409655
9	2475.5935452197555
10	3510.713822110239
11	4895.078356791079
12	7204.759159720243
13	10063.196209008438
14	12560.398810599954
15	16127.986101367344
16	21508.680048070808
17	26663.50338110566
18	32839.474294276144
19	40572.15947920196
20	50163.8066170049
21	59838.31646066158
22	73004.84547374012
23	84923.48798720448
24	101523.71553675254
25	116512.19596407453
26	136335.34789426546
27	155998.97003556506
28	181634.8323712608
29	209692.02475401078
30	237093.4568259492
31	265388.1321249269
32	303583.242447684
33	340674.88427935046
34	385816.80188794853
35	424405.4361186326
36	486613.9902866246
37	537939.4814678539
38	596283.505196436
39	671197.9631717859
40	727042.7307100244
41	810442.173074399
42	898039.4872155238
43	1.0000244489755692e6
44	1.0807782012969458e6
45	1.1723658072922775e6
46	1.2809285971206294e6
47	1.3850342963694602e6
48	1.5020621839779078e6
49	1.6349073474933652e6
50	1.77036290529666e6
51	1.9204793121275445e6
52	2.0709181949181664e6
53	2.2106723903899034e6
54	2.4073934501182097e6
55	2.5749370033195587e6
56	2.7611458816500385e6
57	2.962381073635699e6
58	3.186625256470333e6
59	3.3961807672865563e6
60	3.615770554192455e6
61	3.867487210085838e6
62	4.106473146516402e6
63	4.384166792148575e6
64	4.650559134807261e6
65	5.0135798352603335e6
66	5.28848666490402e6
67	5.603864892331829e6
68	5.937968230208484e6
69	6.275276369216536e6
70	6.690798664772165e6
71	7.077874280174895e6
72	7.456623911109965e6
73	7.766939334431772e6
74	8.343074913994005e6
75	8.756855937160943e6
76	9.259296004992228e6
77	1.000164494443516e7
78	1.019175106500174e7
79	1.0747098392859899e7
80	1.1239468193250898e7
81	1.1939495197726693e7
82	1.2476327505583901e7
83	1.3116084655437998e7
84	1.3698530023457427e7
85	1.4381891443967625e7
86	1.5100142870520629e7
87	1.5804213426910669e7
88	1.6547780604558805e7
89	1.72773896625844e7
90	1.8087570150755197e7
91	1.884367038768728e7
92	1.9619381749441367e7
93	2.0522315930524364e7
94	2.1260926003244564e7
95	2.234203661582463e7
96	2.3333219929420628e7
97	2.4154440899338916e7
98	2.5197443400623735e7
99	2.635845426540961e7
100	2.7347599707457047e7
