n	Lx	Ly	Lz
2	5.000517929	2.0002463498	3.0001425938
3	6.0002952508	5.0004156112	4.5000476578
4	6.000176924	8.0000811384	7.0005385248
5	10.0011989676	8.0004707882	9.501167425
6	12.0025929742	14.0008793228	9.0016757428
7	16.5003670856	12.0006925394	14.0003824378
8	15.0006171094	18.0024506064	16.000978173
9	21.003182514	19.0023633268	17.002310601
10	19.002965344	24.002629082	22.002556836
11	27.0020302	25.003895476	21.501154372
12	28.523661898	29.008129256	25.002266758
13	31.501016574	26.000089752	34.00060054
14	28.502416444	34.500814642	38.000929254
15	33.501468008	40.001544	36.001068874
16	42.004580142	38.004760262	38.501482572
17	41.000843562	43.00337811	45.001839686
18	49.510780426	47.001684712	43.001452268
19	50.000990798	52.50118657	46.003500508
20	55.502563812	49.00285653	54.00064856
21	55.001962486	61.50159757	52.004048446
22	57.501728148	63.001269682	59.001459752
23	60.000886556	66.00135006	63.001038404
24	66.001885822	64.001508124	70.501041176
25	69.002430562	73.000428866	70.00470488
26	73.00109567	73.00172852	77.001423196
27	80.001795892	78.00187329	76.001043492
28	81.002843346	86.333635478	78.001495058
29	88.002996244	82.003967718	87.502232212
30	94.500574912	88.001029214	86.501768326
31	91.002506396	91.008454798	97.503037474
32	101.50280994	94.50268165	104.500522176
33	102.00333666	104.501485448	97.001790814
34	108.000688092	100.026871146	108.500988682
35	105.008889654	114.501776292	109.505438404
36	109.00803374	114.001174546	118.001187158
37	126.501167558	107.045968402	121.500618688
38	120.502697878	119.003793902	126.002726484
39	132.502291164	120.504714438	126.50466882
40	137.004597294	124.501347382	130.002553048
41	135.000925768	130.003134176	138.50680804
42	144.002576776	136.014193762	135.502322748
43	142.001020978	140.003570802	149.006649884
44	152.500690392	145.502088952	145.002582772
45	159.001470072	148.012659332	149.009304454
46	156.001271908	152.002599554	161.009770918
47	159.010604604	156.15749648	166.502087622
48	162.002483136	174.003761132	160.506469816
49	173.023172698	169.000787424	166.050270976
50	169.502293984	179.81218696	173.01447363
51	172.51745698	182.020650992	183.00382899
52	190.00398445	190.004401358	171.008758064
53	193.00440051	179.001508458	194.004899654
54	184.97455173	202.63438364	191.002585148
55	199.00229281	204.00553746	190.005380564
56	198.000812254	207.04967702	202.5068112
57	213.00300976	201.00242898	208.50503336
58	218.00261518	204.00518194	214.00491048
59	210.5054169	214.00176454	226.00314082
60	224.0073099	222.02336312	218.05613542
61	222.00279346	233.00340152	224.51587006
62	235.00231002	222.02342098	237.00301494
63	227.04190696	238.00169678	244.0029608
64	240.00943516	239.03173432	244.0012067
65	250.01207964	255.00723132	233.02085664
66	250.00125856	260.68754766	244.00903536
67	262.51092324	254.01361306	252.0036809
68	261.01774664	260.00685968	262.0157828
69	273.00970218	261.00378374	265.00300882
70	277.00992292	260.50671288	276.0366399
71	276.5299654	277.98294474	275.03463242
72	281.50237788	276.02556668	285.00311084
73	282.00382766	272.60459468	306.00292482
74	287.0025898	291.66468082	297.19110174
75	308.51003086	302.00403436	282.00339058
76	302.5028216	308.00362132	297.29518982
77	298.00511584	305.00226594	319.00791164
78	305.0108564	332.52668012	302.00304458
79	314.51163792	309.94554996	330.5014005
80	328.50364906	324.00327394	317.02597616
81	337.09696838	321.9345258	328.09599122
82	334.00420666	334.50494154	333.00382594
83	339.50601606	327.00991014	351.081546
84	331.00147644	357.01567788	347.00706346
85	342.00329022	344.00328018	366.5073475
86	357.51069072	355.51340132	355.10055874
87	365.00939722	357.50194698	361.0458552
88	368.20033482	373.5939075	359.515822
89	374.16624742	375.1810672	368.0100372
90	374.07235132	376.00587934	384.00579834
91	363.02881944	391.50705692	397.00933292
92	400.22495466	382.99792176	384.01048448
93	385.97310684	397.11594252	401.08769942
94	397.71204026	395.56043178	406.72831466
95	407.05455956	407.02146318	402.06086318
96	412.0105179	426.12900878	397.01897988
97	420.5085678	404.00555346	427.13109746
98	417.65355562	421.64296042	427.06686766
99	431.67522968	433.73646458	416.05168858
100	435.0528152	438.02142922	429.04635224
