n	V
2	1.5013837446117282
3	5.628072518686417
4	17.510423524167084
5	39.410859945182715
6	74.30058916406979
7	125.17600402545509
8	195.1513827904308
9	303.9610748311926
10	488.98582132860497
11	679.6465783115059
12	1000.7415608915416
13	1300.7243262766833
14	1776.6866501455117
15	2352.6416272872084
16	2953.50930467505
17	3649.2453817726805
18	4444.661634684934
19	5561.46612267793
20	6764.810810203496
21	8036.505860933332
22	10003.174416654598
23	11754.711268930128
24	13828.341196857877
25	16289.387831369284
26	18661.31848358529
27	21527.540869235636
28	24620.89261780294
29	28703.41223488043
30	32420.1173954639
31	37197.549470245554
32	41988.29485216936
33	47699.48076819948
34	52859.822031066375
35	59632.496775584834
36	66123.81717447711
37	72540.05939801232
38	80564.63612333745
39	89703.83578331888
40	100517.504790831
41	109740.71244742513
42	120180.1220372825
43	132088.63653792467
44	143327.6073905442
45	158030.84243863373
46	172820.39291417194
47	187833.42000681738
48	202966.1684638397
49	217432.94774269237
50	237565.71338388827
51	253615.51203459458
52	275218.4059927075
53	295436.4671156167
54	312723.254799933
55	334244.49150273483
56	361137.99410692084
57	386757.84559203027
58	418424.07051649597
59	443381.58171413373
60	476337.29173691757
61	505475.5344408315
62	541827.4320262235
63	573586.1111520613
64	607737.8046051539
65	645055.5216101635
66	679388.3396572174
67	717860.1371125383
68	754582.8224666057
69	793890.7605325431
70	845612.7483686247
71	895658.4571168779
72	1.0011979441251213e6
73	1.0077605949351274e6
74	1.0458961952611149e6
75	1.1193203729297796e6
76	1.172449054052173e6
77	1.2341747520487348e6
78	1.307829238564212e6
79	1.3675722615971891e6
80	1.4389288851198205e6
81	1.5065326732779748e6
82	1.5829695581596547e6
83	1.6599144251556762e6
84	1.7413127310041252e6
85	1.826747618218501e6
86	1.9016690589332106e6
87	1.9977073177569183e6
88	2.0925571682876528e6
89	2.1851354201865485e6
90	2.295516829806742e6
91	2.3666004549530228e6
92	2.4932729786077845e6
93	2.599497286621148e6
94	2.719328652152663e6
95	2.8158280989910024e6
96	2.939883676169346e6
97	3.0456828449340635e6
98	3.188309181099726e6
99	3.2956635177664193e6
100	3.4451479923330126e6
