n	Hx	Hy	Hz
2	0.37524177094	2.0000494272	0.25006321877
3	0.37503078648	0.62527978188	3.0000492954
4	0.87534416427	0.62509287397	4.000214454
5	1.1252416247	0.8755810686	5.0001585118
6	6.0000986127	1.3752897633	1.1255108136
7	7.0001207244	1.3753978629	1.6251641046
8	8.0000850424	1.8757447684	1.6255985321
9	1.8756771278	9.0012280407	2.2504436221
10	2.8756361459	2.1255455381	10.00004448
11	2.3757579351	3.2507885191	11.000242063
12	12.000079435	2.8752971437	3.6254765103
13	3.1257959846	4.0006999264	13.001655915
14	14.000171521	3.6253976325	4.3755419194
15	15.000195844	4.1270840464	4.7503493276
16	5.1256315531	4.5016915653	16.000193543
17	5.5005454199	17.000131377	4.8781488415
18	5.2522473324	5.8766453126	18.000064808
19	5.6272564103	6.5019758025	19.000159889
20	6.5017721094	20.000146341	6.5028053105
21	21.000969874	7.5012906342	6.3767873488
22	6.8824544114	22.000106307	8.2580922793
23	8.3759727982	23.000882009	7.6267977653
24	24.000087411	8.0010689415	9.001590739
25	10.503855417	25.000812916	7.7537520871
26	26.00023086	8.7514625992	10.251667043
27	10.62696919	9.37844166	27.000035351
28	9.8776169961	11.127607009	28.000116945
29	29.000555561	11.503931271	10.754517862
30	12.002979718	30.000390725	11.254044106
31	31.000586465	11.877110823	12.628263184
32	32.000314757	13.25171151	12.376904173
33	13.504509307	13.379102856	33.000298142
34	13.878051471	34.000198346	14.003150781
35	13.629308539	15.626105753	35.0000306
36	14.127804096	36.000091635	16.251358062
37	14.628402407	16.752821502	37.000113816
38	38.000087159	17.376585099	15.251249946
39	39.000340681	15.751703756	18.252614899
40	16.751392169	18.751639056	40.00014553
41	41.000323646	19.252300266	17.378323481
42	17.88075244	20.003404429	42.000353693
43	18.503550652	20.751570287	43.000096607
44	19.503358475	44.000684358	20.877141253
45	45.000250293	21.380966324	20.530976668
46	46.000278183	20.754352404	22.627436587
47	23.505729707	47.00025391	21.252446768
48	23.751568761	22.253439408	48.000330027
49	49.000303138	22.751402668	24.379703692
50	25.004892774	50.000326571	23.751767694
51	25.629680406	51.000405864	24.253197485
52	27.000323591	52.000202883	24.50267395
53	53.00021012	24.630824015	28.28899909
54	24.129169485	30.000802632	54.000147086
55	24.504433181	55.000115727	31.000307887
56	56.00010505	26.000289991	31.003888114
57	57.000170873	32.001637621	26.503350786
58	58.000281894	27.634552372	32.632033227
59	34.000144275	27.628269799	59.000163216
60	30.885762175	32.129804188	60.00095935
61	61.000285668	31.382652305	33.00567653
62	62.000384594	34.000200213	32.128847275
63	32.268619781	35.268345396	63.000379362
64	32.516243692	36.504268154	64.0003354
65	65.000314308	33.387379115	37.154320651
66	33.634543467	38.255801349	66.000201425
67	67.000157059	38.126949629	35.127073477
68	68.000190084	39.756634164	34.889696483
69	35.507651863	40.503851692	69.000538996
70	70.000596584	36.162163236	41.756625173
71	37.878300589	71.000264372	41.629576428
72	42.000252442	72.000203687	41.385131204
73	43.000277525	40.130272615	73.000194491
74	45.006588257	74.001766295	39.253683649
75	45.628772635	40.884657854	75.000691393
76	46.267002299	41.67859779	76.00103949
77	77.000308385	47.000342809	42.627825624
78	47.752223107	78.000440902	43.890487323
79	79.000212696	43.382895628	49.87851326
80	43.53373479	80.000257032	51.645446232
81	44.381962326	81.000129623	52.383722089
82	53.128479312	82.00009769	45.419340198
83	48.76148264	83.000447537	51.267055627
84	45.654255384	84.000538891	56.757525396
85	51.514165427	85.000297544	52.148455288
86	86.000164942	51.762605671	53.398559204
87	87.000592454	54.129396348	53.025708441
88	54.14183848	54.899599287	88.000506385
89	54.539815661	56.270757447	89.000396813
90	57.810546401	55.149322345	90.000151329
91	57.014190214	91.000065093	57.017778613
92	55.523692966	92.000223687	61.011628338
93	57.142370528	93.002794193	61.142773056
94	59.151167889	61.133174835	94.000775649
95	95.000257099	58.77340323	63.039176597
96	96.000155815	60.761155621	63.00023896
97	97.000634374	64.274407819	61.063547562
98	66.295141711	98.000274934	61.342496303
99	99.004577064	49.510007122	84.043593949
100	100.00095697	68.634225253	62.744115835
